nom,prenom,email,telephone,role,statut
Seck,Babacar,babacar.seck.agent@example.sn,+221762000001,Agent,Inactif
Kante,Serigne,serigne.kante.agent@example.sn,+221762000002,Agent,Inactif
Gueye,Astou,astou.gueye.agent@example.sn,+221762000003,Agent,Inactif
Thiam,Seynabou,seynabou.thiam.agent@example.sn,+221762000004,Agent,Inactif
Mbacke,Modou,modou.mbacke.agent@example.sn,+221762000005,Agent,Inactif
Badiane,Oumy,oumy.badiane.agent@example.sn,+221762000006,Agent,Inactif
Diagne,El Hadji,el hadji.diagne.agent@example.sn,+221762000007,Agent,Inactif
Faye,Ramatoulaye,ramatoulaye.faye.agent@example.sn,+221762000008,Agent,Inactif
Deme,Malick,malick.deme.agent@example.sn,+221762000009,Agent,Inactif
Kane,Anta,anta.kane.agent@example.sn,+221762000010,Agent,Inactif
Loum,Boubacar,boubacar.loum.agent@example.sn,+221762000011,Agent,Inactif
Niang,Penda,penda.niang.agent@example.sn,+221762000012,Agent,Inactif
Diouf,Mansour,mansour.diouf.agent@example.sn,+221762000013,Agent,Inactif
Wade,Yacine,yacine.wade.agent@example.sn,+221762000014,Agent,Inactif
Sanane,Lamine,lamine.sanane.agent@example.sn,+221762000015,Agent,Inactif
Samb,Coumba,coumba.samb.agent@example.sn,+221762000016,Agent,Inactif
Dione,Saliou,saliou.dione.agent@example.sn,+221762000017,Agent,Inactif
Camara,Fama,fama.camara.agent@example.sn,+221762000018,Agent,Inactif
Sene,Ngor,ngor.sene.agent@example.sn,+221762000019,Agent,Inactif
Ndour,Viviane,viviane.ndour.agent@example.sn,+221762000020,Agent,Inactif
